,Word,Occurance
322,featuring,27
323,plus,69
324,golden,26
325,lick,1
326,race,150
327,sweepstakes,1
328,httptinyurlcom6asujj,1
329,httptinyurlcommcn8yl,1
330,lot,261
331,people,2444
332,imagination,19
333,but,2011
334,cant,618
335,executeyou,1
336,execute,7
337,what,1913
338,has,2861
339,say,542
340,daughter,45
341,ivankas,6
342,upcoming,47
343,card,41
344,httptinyurlcomycsqmda,1
345,video,149
346,sharing,13
347,advice,92
348,4,233
349,entrepreneurial,9
350,women,214
351,gma,20
352,httptinyurlcomyk6hlfo,1
353,hear,229
354,gov,50
355,spending,186
356,banks,37
357,taxes,237
358,wneil,1
359,cavuto,8
360,httptinyurlcomyhnzd7p,1
361,jared’s,1
362,wedding,20
363,make,1485
364,beautiful,383
365,couple,34
366,i’m,125
367,proud,262
368,father,73
369,work,794
370,begun,26
371,ahead,87
372,schedule,31
373,greatest,262
374,golf,514
375,course,432
376,history,420
377,international,150
378,scotland,205
379,partners,23
380,tv1,1
381,reality,81
382,series,33
383,entitled,16
384,omarosas,1
385,ultimate,25
386,merger,8
387,httptinyurlcomyk5m3lc,1
388,yours,40
389,bountiful,1
390,thanksgiving,37
391,tower,260
392,chicago,194
393,ranked,14
394,6th,9
395,tallest,8
396,building,225
397,council,46
398,tall,7
399,buildings,30
400,urban,6
401,habitat,1
402,httpbitlysqvqq,1
403,everyone,420
404,wonderful,393
405,holiday,46
406,healthy,28
407,prosperous,15
408,year,576
409,let’s,77
410,2010,17
411,returns,54
412,314,1
413,911pm,1
414,etpt,1
415,outstanding,60
416,celebrities,20
417,season,280
418,should,1571
419,yet,262
420,tycoon,6
421,app,15
422,iphone,18
423,ipod,3
424,touch,107
425,299,1
426,priceless,4
427,httpbitlyuguf0,1
428,i,8794
429,saw,121
430,lady,61
431,gaga,3
432,she,799
433,fantastic,363
434,channel,24
435,host,78
436,match,31
437,125,4
438,tngc,2
439,la,49
440,ca,23
441,mark,146
442,wahlberg,1
443,vs,46
444,kevin,65
445,dillon,2
446,httpbitly4mubn6,1
447,superbowl,13
448,american,795
449,tradition,9
450,colts,5
451,saints,2
452,already,278
453,may,280
454,team,211
455,cnn,512
456,international’s,1
457,‘connect,1
458,world’,1
459,‘connector,1
460,day’,1
461,submit,10
462,questions,109
463,httpbitlybpip7t,1
464,final,101
465,episode,88
466,jay,37
467,leno,9
468,deliver,48
469,special,220
470,message,81
471,httpbitlycv1en7,1
472,so,2641
473,wife,118
474,melania,131
475,launch,28
476,jewelry,10
477,line,86
478,debut,11
479,qvc,21
480,april,38
481,30th,6
482,9,159
483,pm,371
484,andrea,3
485,bocelli,1
486,maralago,62
487,many,1332
488,entertainment,12
489,long,463
490,palm,68
491,beach,88
492,httpbitly2fngoz,1
493,twohour,1
494,premiere,32
495,this,3518
496,march,101
497,14th,24
498,see,1017
499,then,431
500,off,363
501,start,293
502,swept,4
503,10,206
504,hour,58
505,key,58
506,demographic,3
507,olympic,18
508,gold,56
509,medalist,2
510,evan,3
511,lysacek,2
512,just,2522
513,left,299
514,office,352
515,town,39
516,wanted,129
517,meet,131
518,mehes,1
519,fanastic,1
520,guy,351
521,true,855
522,am,1147
523,announce,94
524,theoriginal,1
525,which,687
526,offer,61
527,job,930
528,opportunities,48
529,those,337
530,needis,1
531,coming,352
532,back,1127
533,weeks,99
534,set,146
535,stage,50
536,even,915
537,excitement,24
538,hotel,277
539,collection,63
540,currently,39
541,nominated,26
542,conde,8
543,nast,9
544,traveler,5
545,readers,9
546,choice,132
547,awards,38
548,travel,53
549,leisure,3
550,original,35
551,backdo,1
552,takes,86
553,next,483
554,casting,11
555,details,28
556,httptinyurlcomyly2c8u,1
557,nyc,153
558,thisthursday,1
559,1,308
560,information,127
561,need,1001
562,go,914
563,nbccomcasting,1
564,open,279
565,look,634
566,seeing,121
567,todays,95
568,drew,18
569,thousands,133
570,eager,2
571,applicants,2
572,impressive,27
573,group,80
574,enjoyed,72
575,meeting,307
576,weve,35
577,got,621
578,some,505
579,candidates,106
580,attended,15
581,skating,8
582,stars,26
583,gala,14
584,wollman,8
585,rink,21
586,central,48
587,park,66
588,stay,242
589,tuned,67
590,part,174
591,2,276
592,scottish,39
593,fashion,17
594,benefits,26
595,veterans,131
596,dressed,8
597,kilt,2
598,cohosted,2
599,sir,127
600,sean,27
601,connery,1
602,bestselling,4
603,available,56
604,paperback,3
605,inspiring,30
606,entertaining,23
607,soho,14
608,opens,24
609,friday,85
610,httpwwwtrumpcom,1
611,downtown,19
612,unlike,43
613,anything,267
614,else,206
615,visit,132
616,soon,428
617,fabulous,47
618,adventure,4
619,looking,582
620,yankees,92
621,opening,70
622,before,494
623,kids,48
624,places,47
625,place,347
626,motto,8
627,police,102
628,athletic,7
629,organization,43
630,im,554
631,support,426
632,jerome,6
633,bettis,1
634,bus,14
635,pittsburgh,23
636,steelers,1
637,play,178
638,intl,54
639,clubpalm,1
640,against,531
641,julius,2
642,erving,1
643,dr,37
644,marriage,11
645,ref,2
646,onthursday,1
647,nbcim,1
648,panel,18
649,experts,23
650,gloria,4
651,estefan,1
652,adam,91
653,carolla,2
654,idiot,15
655,broadway,7
656,amazing,589
657,theatrical,1
658,experience,79
659,11,57
660,cbs,55
661,fun,150
662,put,346
663,calendar,4
664,las,103
665,vegas,125
666,16th,14
667,7,116
668,ill,210
669,theretune,1
670,thoughts,131
671,prayers,84
672,remain,55
673,bret,22
674,michaels,12
675,family,279
676,speedy,7
677,recovery,45
678,larry,29
679,king,72
680,conversation,62
681,introduce,6
682,timepieces,6
683,where,476
684,debuting,2
685,pageant,80
686,16,81
687,hosted,38
688,curtis,5
689,stone,30
690,natalie,6
691,morales,3
692,also,519
693,country,1764
694,superstar,2
695,trace,13
696,adkins,1
697,pop,3
698,rock,49
699,sensation,3
700,boys,19
701,girls,15
702,providing,10
703,backstage,7
704,commentary,19
705,comedic,1
706,motherdaughter,1
707,duo,3
708,joan,52
709,melissa,3
710,rivers,42
711,lineup,8
712,were,910
713,progress,84
714,full,211
715,congratulations,476
716,rima,3
717,fakih,2
718,represent,35
719,us,2117
720,well,626
721,up,1459
722,whats,88
723,happeningfrom,1
724,jewlery,1
725,free,161
726,tickets,92
727,latest,42
728,update,13
729,hes,273
730,making,378
731,effort,61
732,attend,19
733,sundayso,1
734,whos,27
735,pick,64
736,bretmichaels,17
737,hollyrpeete,4
738,vote,1112
739,httpowly1nfmt,1
740,brets,1
741,caught,94
742,holly,6
743,both,305
744,httpbitlyckmkku,1
745,ratings,322
746,had,878
747,time,1552
748,spent,142
749,several,7
750,years,906
751,right,709
752,visiting,35
753,over,999
754,200,39
755,sites,14
756,absolutely,148
757,north,362
758,coast,49
759,spectacularthe,1
760,sea,11
761,sand,12
762,dunes,11
763,rolling,26
764,bluffswe,1
765,walked,14
766,theyre,60
767,how,1095
768,geomorphology,1
769,study,40
770,movement,81
771,landforms,1
772,trip,64
773,memorial,48
774,thought,179
775,done,756
776,much,1152
777,freedom,100
778,turning,46
779,table,21
780,saturday,114
781,interviewing,8
782,honor,370
783,25th,10
784,anniversary,53
785,checking,16
786,westchester,9
787,httpwwwtrumpnationalwestchestercom,4
788,guest,50
789,httplarrykingliveblogscnncom,2
790,trade,462
791,kingsthings,5
792,clips,6
793,honored,95
794,chosen,16
795,gray,3
796,their,1291
797,ny,120
798,ride,17
799,fame,52
800,campaign,486
801,ribbon,8
802,cutting,50
803,ceremony,29
804,front,61
805,lines,30
806,site,42
807,httpwwwnewyorksightseeingcom,1
808,rode,2
809,me,1989
810,yesterday,312
811,httpwwwmissuniversecommissusa,1
812,wsj,59
813,covers,16
814,httponlinewsjcomarticlesb10001424052748704575304575297082506166258htmlmodwsjnyrealestatemiddlelsmini,1
815,dinner,88
816,quattro,1
817,hottest,11
818,restaurants,22
819,city,197
820,hotels,56
821,anywhere,53
822,httpwwwtrumpcomhotelcollectiontrumpsohotrumpsohoasp,2
823,tv,180
824,starring,3
825,only,1177
826,omarosa,70
827,twelve,7
828,brave,84
829,bachelors,2
830,httpwwwnydailynewscomentertainmenttv2010061720100617omarosaisbackandthistimeitspersonalhtml,1
831,relief,28
832,telethon,3
833,tonights,45
834,two,478
835,8,118
836,httptwittercomkingsthings,1
837,gulf,7
838,night13,1
839,million,266
840,raised,64
841,hours,92
842,eric,85
843,foundation,50
844,1000000,10
845,st,39
846,jude,6
847,childrens,12
848,research,31
849,hospital,20
850,httptwittercomerictrumpfdn,1
851,trading,14
852,shots,20
853,trumpa,1
854,article,96
855,wall,444
856,street,86
857,journal,45
858,httpbitlyc9ezbq,1
859,expected,67
860,begin,49
861,httpbitlyblp1tq,1
862,thankful,16
863,due,83
864,popular,64
865,demand,74
866,rebroadcast,5
867,june,66
868,monday,144
869,july,43
870,5,218
871,edition,5
872,thursdays,2
873,fall,64
874,etim,1
875,putting,82
876,george,92
877,steinbrenner,9
878,legend,30
879,anyone,236
880,lost,282
881,truly,249
882,man,563
883,visited,34
884,courses,67
885,weekendthis,1
886,onehttpwwwtrumpcomgolfclubshudsonvalleyhudsonvalleyasp,1
887,anotherhttpwwwtrumpcomgolfclubscoltsneckcoltsneckasp,1
888,another,516
889,httpwwwtrumpcomgolfclubswestchesterwestchesterasp,2
890,accept,34
891,hollyrod,1
892,humanitarian,25
893,award,78
894,robinson,3
895,peete,1
896,700000,8
897,newest,8
898,httpwwwyoutubecomusermattressserta,1
899,httpwwwfacebookcomsertamattress,2
900,helping,81
901,serta,12
902,counting,14
903,sheep,7
904,get,1835
905,httpwwwtrumpcomhotelcollectiontrumplasvegastrumplasvegasasp,1
906,contesthttpwwwfacebookcomsertamattressand,1
907,august,33
908,23,18
909,911,41
910,cohost,4
911,performing,8
912,mandalay,1
913,bay,32
914,resort,67
915,casino,5
916,telemundo,7
917,orianthi,1
918,john,307
919,roots,4
920,calenders,1
921,23rd,2
922,httpwwwmissuniversecom,2
923,september,43
924,14,58
925,httpswwwerictrumpfoundationcomndticketlistfundraiserid8,1
926,erics,1
927,sept,7
928,event,151
929,held,67
930,national,534
931,club,166
932,webisode,2
933,3,221
934,favorite,139
935,wwwyoutubecomusermattressserta,4
936,hire,22
937,click,4
938,would,1890
939,vegashttpwwwtrumpcomhotelcollectiontrumplasvegastrumplasvegasasp,1
940,thursday,68
941,four,90
942,days,180
943,until,220
944,nbcit,2
945,going,1162
946,hotter,2
947,mexico,319
948,jimena,1
949,navarrete,2
950,raked,2
951,golfing,7
952,bedminster,41
953,went,186
954,game,201
955,bill,324
956,oreillywe,1
957,watching,332
958,tonightbe,1
959,1130,11
960,sertas,1
961,httpbitlysertarm9,1
962,httpwwwtrumpcomhotelcollectiontrumpnewyorktrumpnewyorkasp,4
963,invited,10
964,caroline,1
965,wozniacki,1
966,sit,30
967,box,21
968,during,254
969,shes,59
970,theres,53
971,httpbitly9rj0sn,1
972,httpbitlybmb4ch,1
973,civilian,7
974,version,19
975,air,112
976,opportunity,80
977,annual,35
978,charity,107
979,outing,4
980,httpbitlyc1y3c3,1
981,melanias,5
982,910,4
983,httpbitlyaddvkj,1
984,action,129
985,packed,52
986,httpbitlybnauav,7
987,sizzle,1
988,reel,1
989,httpbitlyax8nah,1
990,exciting,106
991,dog,42
992,whisperer,1
993,nights,60
994,weekly,23
995,httpbitlybmnf72,1
996,presented,10
997,doctor,20
998,administration,273
999,honoris,1
1000,causa,1
1001,robert,105
1002,gordon,5
1003,aberdeen,55
1004,apprentice10,1
1005,internatonal,1
1006,linksscotland,1
1007,progressing,2
1008,beautifully,6
1009,httpbitlybuwwnb,1
1010,nbcits,1
1011,wont,185
1012,hr,10
1013,solutions,28
1014,company,89
1015,polled,5
1016,1000,60
1017,employed,9
1018,adults,8
1019,find,216
1020,ideal,12
1021,bosses,22
1022,httpbitly9up9vj,1
1023,unpredictable,4
1024,prepared,47
1025,sensational,6
1026,talked,35
1027,onetough,1
1028,surprising,8
1029,pmnbc,1
1030,variety,5
1031,topics,16
1032,susteren,15
1033,fox,242
1034,news,1083
1035,want,1039
1036,in10,1
1037,surprise,81
1038,slightly,6
1039,abridged,1
1040,form,47
1041,httpbitly96ztoa,1
1042,good,1572
1043,info,43
1044,getting,444
1045,down,595
1046,wire,3
1047,apprenticetune,1
1048,cnbc,53
1049,titans,2
1050,shown,30
1051,nov,20
1052,19th,7
1053,1121,1
1054,1124,1
1055,httpbitlyckojpn,1
1056,staff,85
1057,sgt,31
1058,salvatore,1
1059,giunta,1
1060,received,71
1061,medal,26
1062,pres,114
1063,obama,1444
1064,month,76
1065,featured,17
1066,delivers,13
1067,appearances,3
1068,isaac,4
1069,mizrahi,1
1070,cathie,1
1071,black,53
1072,si,4
1073,sportsman,2
1074,evanforsi,1
1075,everwere,1
1076,high,322
1077,finaleand,1
1078,liza,1
1079,minnelli,1
1080,brandy,1
1081,clint,10
1082,player,71
1083,leisures,1
1084,worlds,42
1085,2011,27
1086,five,67
1087,includetrump,1
1088,waikiki,4
1089,walk,30
1090,httptlworldsbestroiresearchcom,1
1091,larrys,1
1092,25,80
1093,television,103
1094,farewell,1
1095,jimmy,24
1096,fallon,11
1097,1235,3
1098,nbcill,1
1099,announcement,81
1100,afternoon,55
1101,speaking,138
1102,neil,15
1103,busy,31
1104,doing,881
1105,phoners,1
1106,wolf,6
1107,blitzer,4
1108,friends,224
1109,kudlowcheck,1
1110,httpshouldtrumpruncom,2
1111,january,51
1112,31,14
1113,matches,7
1114,shouldtrumpruncom,2
1115,factories,14
1116,supposed,27
1117,compete,24
1118,china,846
1119,other,720
1120,countries,269
1121,no,2171
1122,environmental,19
1123,restrictions,7
1124,america,1620
1125,s,120
1126,workers,103
1127,third,69
1128,httpbitlygcqjpr,4
1129,oprah,20
1130,entire,112
1131,hourhttpbitlyf7wny8,1
1132,appear,9
1133,piers,27
1134,morgan,24
1135,won,269
1136,speech,328
1137,cpac,57
1138,washington,322
1139,dc,230
1140,httpwwwyoutubecomwatchvpr1b8ykxcao,1
1141,yesterdayhttpwwwyoutubecomwatchvhbp8n8706qa,1
1142,foxnewsinsider,19
1143,comments,75
1144,httpwwwyoutubecomwatchvv96ftzppicw,1
1145,shouldtrumprunhttpshouldtrumpruncom,1
1146,desk,14
1147,httpbitlyhgkbs7,1
1148,httpbitlyff8trt,1
1149,westminster,3
1150,asked,132
1151,id,120
1152,interested,33
1153,hickory,1
1154,deerhound,1
1155,came,134
1156,don,96
1157,imus,6
1158,httpbitlyhtvrfq,1
1159,httpbitlyf0kmi2,1
1160,httpnydnusfpkqsy,1
1161,msnbc,61
1162,httponmsnbccomgagnia,1
1163,httpbitlyexbfow,1
1164,willing,46
1165,answer,101
1166,tweet,102
1167,answered,19
1168,httpbitlyhnzt5j,1
1169,comedy,8
1170,roast,12
1171,15,86
1172,calendars,1
1173,httpbitlyhyna0e,1
1174,6,82
1175,httpwwwnbccomtheapprentice,3
1176,httpbitlyg75jiu,1
1177,httpbitlyexviyc,1
1178,regis,7
1179,kelly,63
1180,starts,54
1181,night—don’t,1
1182,nightthe,2
1183,youve,85
1184,httpaolitfsouew,1
1185,15th,12
1186,1030,10
1187,httpbitlyhriach,1
1188,httpbitlyewm4t2,1
1189,observation,3
1190,made,687
1191,recently,55
1192,httpbitlyhqjere,1
1193,httpbitlyf91ylo,1
1194,httpbitlyerruo8,1
1195,developing,15
1196,towers,21
1197,republic,21
1198,georgia,70
1199,httpnytimse9u79i,1
1200,fireworks,25
1201,continuehttpbitlydwjzfs,1
1202,httpbitlyhiolbj,1
1203,httpbitlygkjl8x,1
1204,humiliate,1
1205,dais,1
1206,talent,89
1207,trumproast,4
1208,airs,6
1209,1030930c,3
1210,httpbitlyfugbyy,1
1211,hey,60
1212,snoopdogg,2
1213,itsthesituation,1
1214,sethmacfarlane,3
1215,oh,75
1216,real,567
1217,scared,26
1218,1030930,1
1219,realjeffreyross,1
1220,whitney,5
1221,cummings,16
1222,lisalampanelli,8
1223,yourselves,10
1224,comedians,1
1225,comedycentral,3
1226,fazio,7
1227,familymaster,1
1228,designershttpbitlygi3q3e,1
1229,talking,219
1230,httpbitlyhn3jow,1
1231,most,630
1232,httpbitlygv6tvh,1
1233,shouldtrumprun,1
1234,hundreds,53
1235,supporters,120
1236,gone,142
1237,joined,25
1238,catch,35
1239,httpbitlyfrkfrz,1
1240,httpabcnwsib1t1c,1
1241,kudlow,6
1242,report,294
1243,current,53
1244,affairs,10
1245,politics,163
1246,highest,151
1247,rated,60
1248,everit,1
1249,brought,91
1250,35,23
1251,milion,3
1252,viewers,33
1253,spoke,104
1254,httpbitlyfmnvbx,1
1255,httpbitlyhbtqxg,1
1256,lots,105
1257,better,702
1258,really,925
1259,do,2162
1260,through,264
1261,thetrumpnetwork,1
1262,httptrumpnetworkcom,1
1263,geico,1
1264,ad,73
1265,httpbitlyfrcfzy,1
1266,money,599
1267,gave,205
1268,charityand,1
1269,response,67
1270,gadhafi,1
1271,httpbitlyepux9u,1
1272,httpbitlygxe2ul,1
1273,httpbitlyfk3utp,1
1274,httpbitlyf5rtko,1
1275,httpbitlydxgqkc,1
1276,baseball,29
1277,oreilly,26
1278,factor,18
1279,httpbitlyicubeg,1
1280,httpbitlyfmyibi,1
1281,8pm,24
1282,youll,56
1283,seeand,1
1284,httpbitlyhjxrma,1
1285,press,187
1286,conference,116
1287,driver,7
1288,indy500,1
1289,pace,18
1290,car,46
1291,announced,119
1292,httpbitlyflmhjg,1
1293,todayshow,52
1294,interviewed,207
1295,meredithvieira,1
1296,case,193
1297,missed,78
1298,httpontodaycomgas1hc,1
1299,thechoirboy,1
1300,shampa525,1
1301,mcleeoo,1
1302,theimpetuous,1
1303,rdercjr,1
1304,trumpvlog,90
1305,httpbitlyfavgfu,2
1306,answering,9
1307,tweets,103
1308,please,577
1309,pirates,1
1310,casthttpbitlybnauav,1
1311,httpbitlyhhdwcr,1
1312,danmcisaac,1
1313,hopefully,104
1314,answers,42
1315,question,110
1316,httpbitlyhko9uy,1
1317,httpbitlydlidt6,1
1318,republicans,469
1319,democrats,940
1320,starting,117
1321,httpnytimse4kntu,1
1322,hannityshow,17
1323,foxnews,684
1324,tea,65
1325,party,415
1326,httpbitlygnmeel,1
1327,past,148
1328,httpbitlygohhtq,1
1329,httpbitlydvet5x,1
1330,httpbitlygczbwr,1
1331,httpontodaycomfxc3ie,1
1332,httpabcnwselztzz,1
1333,donaldjtrumpjr,90
1334,erictrump,109
1335,working,421
1336,httpbitlyfletcl,1
1337,hootie821,1
1338,wishn2bfamous,1
1339,khfritch,1
1340,httpbitlyglp9ib,1
1341,httpbitlyfurnsb,2
1342,generation,18
1343,httpbitlyhjujmg,1
1344,httpbitlyhxe6mf,1
1345,httpbitlyhj0jnx,1
1346,yesterdays,15
1347,events,50
1348,httpbitlymqwrxh,1
1349,preview,5
1350,sundays,13
1351,httpbitlylridaq,1
1352,golftonight,1
1353,personally,39
1354,congratulate,17
1355,president,2763
1356,men,147
1357,armed,34
1358,forces,33
1359,cont,550
1360,httptlgda7dhom,1
1361,oreillyfactor,140
1362,poll,444
1363,cast,74
1364,httpbitlycxwgkp,1
1365,foxandfriends,606
1366,httpbitlympy4nr,1
1367,hampshire,140
1368,httpbitlylll2y5,1
1369,httpbitlyknjpkf,1
1370,sneak,8
1371,peek,4
1372,httpbitlykmmwla,1
1373,guests,13
1374,raving,7
1375,exclusive,43
1376,mattress,12
1377,we’ve,32
1378,purchase,41
1379,httpbitlysertahotel,1
1380,jets,8
1381,center,100
1382,nick,20
1383,mangold,1
1384,interns,1
1385,difficult,39
1386,decision,150
1387,regarding,35
1388,presidential,299
1389,thank,2756
1390,fans,65
1391,httpbitlylxobom,1
1392,vegasusa11,2
1393,missusa,36
1394,apprenticenbc,417
1395,httpbitlyjyfgp3,1
1396,celebrityapprenticefinale,1
1397,ready,222
1398,excitementthe,1
1399,httpbitlylodldt,1
1400,rich,81
1401,marlee,1
1402,matlin,1
1403,throughout,46
1404,tremendous,225
1405,few,116
1406,months,118
1407,therealmissusa,1
1408,contestants,24
1409,stopped,64
1410,httpbitlyjqkneq,1
1411,soldiers,58
1412,protected,14
1413,sarahpalinusa,20
1414,httpbitlyjec5p9,1
1415,httpbitlyjxjhgu,1
1416,httpbitlyiinif1,1
1417,httpcspnjf4oe1,1
1418,httpbitlykjwdvx,1
1419,anthony,53
1420,weiner,49
1421,httpbitlyj0lv8v,1
1422,why,1058
1423,holding,40
1424,bid,23
1425,httpbitlyif5pz6,1
1426,youtube,21
1427,brand,93
1428,trumpdocumentary,1
1429,giving,145
1430,inside,52
1431,httpbitlyk2ue4w,1
1432,httpbitlyjyreyr,1
1433,beauty,49
1434,httpbitly3okyr3,1
1435,alyssa,2
1436,campanella,2
1437,californiaour,1
1438,usahttpbitly13mpcy,1
1439,pageantit,1
1440,telecast,8
1441,among,61
1442,abc,103
1443,huge,108
1444,links,85
1445,unmatched,7
1446,httpbitly3rv11n,6
1447,title,9
1448,holder,3
1449,golfmagazine,12
1450,online,42
1451,httpbitlyjkys99,1
1452,san,60
1453,jose,15
1454,sitdown,3
1455,acn,3
1456,20000,22
1457,phoner,2
1458,morningsounding,1
1459,issues,40
1460,httpfxnwskje8yi,1
1461,httponwsjcommxrfuc,1
1462,vineyard,8
1463,estates,11
1464,erictrumphttpbitlyj3c7yi,1
1465,celebration,23
1466,panama,19
1467,location,44
1468,httpbitlyjkc0ea,2
1469,perhaps,137
1470,kind,98
1471,httponwsjcomldleoy,1
1472,congress,339
1473,backtime,1
1474,cut,159
1475,cap,9
1476,balancethere,1
1477,revenue,12
1478,problemthe,1
1479,debt,181
1480,limit,13
1481,cannot,181
1482,contained,2
1483,negotiate,54
1484,themselves,71
1485,again,1049
1486,barackobama,632
1487,talksfirst,1
1488,foremost,3
1489,cutcap,1
1490,balance,11
1491,art,207
1492,dealthe,1
1493,thing,346
1494,deal,812
1495,strength,82
1496,leverage,22
1497,biggest,190
1498,focused,68
1499,balancing,10
1500,budget,110
1501,weakening,5
1502,israels,9
1503,borders,199
1504,path,46
1505,solvency,1
1506,johnboehner,13
1507,house,621
1508,gop,360
1509,worst,211
1510,possibly,38
1511,desperate,58
1512,iranian,47
1513,weapons,54
1514,killing,121
1515,americans,323
1516,iraq,175
1517,u,349
1518,thishttpbitlyolnqw5,1
1519,obamacare,482
1520,tragedy,26
1521,primed,2
1522,further,51
1523,explode,6
1524,deficit,59
1525,httpbitlyq2iytw,1
1526,transferred,2
1527,500,43
1528,billion,215
1529,medicare,41
1530,fund,24
1531,wants,313
1532,took,148
1533,wrong,357
1534,derek,40
1535,jeters,1
1536,httpbitlyp2eree,1
1537,incredible,215
1538,ocean,42
1539,httpbitlyqgbxg6,1
1540,mr,645
1541,speaker,51
1542,bring,249
